Exporter,Captive,Wild
Antarctica,0,2
Antigua and Barbuda,0,8
Argentina,22,67
Armenia,8,4
Aruba,1,2
Australia,46,520
Austria,25,46
Azerbaijan,1,2
Bahamas,8,27
Bahrain,19,0
Barbados,13,3
Belarus,5,1
Belgium,600,24
Belize,1,7
Benin,1,3
Bermuda,3,9
Brazil,17,27
British Indian Ocean Territory,0,2
Bulgaria,3,0
Burundi,0,1
Cambodia,4,2
Cameroon,1,6
Canada,109,277
Cayman Islands,1,1
Chad,0,2
Chile,3,3
China,88,81
Colombia,13,9
Comoros,0,1
Congo,0,6
Cook Islands,0,15
Costa Rica,3,2
Croatia,4,5
Cote d'Ivoire,0,8
Cuba,29,7
Curaçao,0,10
Czech Rep.,238,2
Dem. Rep. of Congo,0,22
Denmark,83,20
Dominica,0,1
Dominican Rep.,1,10
Ecuador,0,1
Egypt,4,0
El Salvador,22,1
Eq. Guinea,0,1
Estonia,1,1
Ethiopia,0,6
Falkland Islands,0,3
Federated States of Micronesia,26,2
Fiji,1,196
Finland,2,5
France,394,616
French Polynesia,0,8
Gabon,0,5
Georgia,0,2
Germany,460,193
Ghana,6,15
Greece,6,13
Greenland,0,77
Guernsey,10,0
Guyana,0,254
Haiti,1,2
Honduras,0,2
Hong Kong,173,193
Hungary,4,1
Iceland,1,0
India,2,4
Indonesia,1568,1449
Iran,2,0
Iraq,1,1
Ireland,2,4
Israel,7,1
Italy,829,1177
Jamaica,0,3
Japan,44,125
Jersey,23,3
Jordan,11,0
Kazakhstan,9,6
Kenya,47,8
Kuwait,111,28
Kyrgyzstan,0,6
Lao PDR,2,0
Latvia,9,0
Lebanon,24,8
Liberia,0,2
Lithuania,3,4
Luxembourg,8,28
Macau,5,10
Macedonia,13,0
Madagascar,0,72
Malaysia,42,119
Maldives,0,1
Mali,26,12
Malta,3,0
Marshall Islands,8,4
Mauritius,10,4
Mexico,20,57
Monaco,74,88
Mongolia,0,15
Morocco,8,4
Mozambique,27,5
Myanmar,0,1
Nambia,11,43
Nepal,0,7
Netherlands,528,128
New Caledonia,1,0
New Zealand,12,14
Nicaragua,7,14
Norway,16,24
Oman,53,35
Pakistan,1,19
Palau,23,8
Panama,0,12
Papua New Guinea,0,8
Paraguay,0,1
Peru,17,54
Philippines,143,26
Poland,6,1
Portugal,51,20
Qatar,69,17
Romania,1,12
Russia,17,63
Saint Barthélemy,0,1
Saint Helena and Dependencies,0,4
Saint Kitts and Nevis,1,2
Saint Lucia,0,1
Saint Vincent and the Grenadines,0,1
San Marino,6,11
Saudi Arabia,7,8
Senegal,2,17
Serbia,11,2
Seychelles,9,5
Singapore,255,201
Slovakia,8,0
Slovenia,11,10
Solomon Islands,3,43
South Africa,186,100
South Georgia and the South Sandwich Islands,0,3
Korea,33,47
Spain,291,163
Sri Lanka,7,6
Sudan,10,3
Suriname,4,82
Sweden,33,8
Switzerland,178,239
Syria,10,0
Taiwan,61,28
Tajikstan,0,2
Tanzania,9,15
Thailand,30,10
Togo,14,5
Tokelau,0,1
Tonga,27,104
Trinidad and Tobago,13,0
Tunisia,11,7
Turkey,47,83
Turks and Caicos Islands,0,4
Uganda,0,15
Ukraine,18,4
United Arab Emirates,119,92
United Kingdom,187,138
United States,509,623
Unknown,5,4
Uruguay,13,12
Uzbekistan,40,14
Vanuatu,0,1
Venezuela,9,0
Vietnam,27,25
Virgin Islands,1,2
Zambia,12,3
Zimbabwe,1,16
